,fecha_hecho,latitud,longitud,sexo,edad,medio_transporte,modalidad,sede_receptora
181,2017-02-17,6.25290698,-75.562323,Mujer,17,Autobus,Atraco,Candelaria
182,2017-02-17,6.25658906,-75.57302769,Hombre,38,Autobus,Cosquilleo,Candelaria
183,2017-02-17,6.28453644,-75.58422223,Mujer,22,Autobus,Cosquilleo,Castilla
184,2017-02-17,6.24726787,-75.56962426,Hombre,38,Metro,Cosquilleo,Candelaria
185,2017-02-18,6.22144174,-75.57992224,Mujer,37,Autobus,Cosquilleo,Belén
186,2017-02-18,6.193774,-75.58156272,Hombre,21,Autobus,Atraco,Poblado
187,2017-02-20,6.24505769,-75.60268921,Mujer,30,Autobus,Cosquilleo,Laureles
188,2017-02-20,6.26940549,-75.56584742,Mujer,25,Metro,Cosquilleo,Aranjuez
189,2017-02-20,6.2448815,-75.57167854,Mujer,42,Autobus,Cosquilleo,Candelaria
190,2017-02-20,6.30546456,-75.55574053,Mujer,17,Autobus,Atraco,Santa Cruz
191,2017-02-21,6.26268137,-75.59019651,Mujer,19,Autobus,Cosquilleo,Laureles
192,2017-02-21,6.24724916,-75.56965616,Hombre,23,Metro,Cosquilleo,Candelaria
193,2017-02-21,6.26970943,-75.56634631,Hombre,33,Autobus,Cosquilleo,Aranjuez
194,2017-02-21,6.288063,-75.57028379,Mujer,22,Taxi,Atraco,Castilla
195,2017-02-22,6.24953683,-75.56800392,Hombre,26,Taxi,Atraco,Candelaria
196,2017-02-22,6.24887026,-75.58349099,Hombre,34,Taxi,Descuido,Laureles
197,2017-02-22,6.25537059,-75.56364264,Mujer,26,Autobus,Cosquilleo,Candelaria
198,2017-02-23,6.22218552,-75.58235373,Hombre,52,Taxi,Atraco,Belén
199,2017-02-23,6.22218552,-75.58235373,Hombre,52,Taxi,Atraco,Belén
200,2017-02-23,6.22218552,-75.58235373,Hombre,52,Taxi,Atraco,Belén
201,2017-02-24,6.24959926,-75.56814086,Mujer,15,Autobus,Cosquilleo,Candelaria
202,2017-02-24,6.23744126,-75.57310303,Hombre,35,Metro,Cosquilleo,Candelaria
203,2017-02-24,6.26447058,-75.56301586,Mujer,21,Metro,Cosquilleo,Aranjuez
204,2017-02-25,6.24562337,-75.57408184,Hombre,24,Taxi,Atraco,Candelaria
205,2017-02-25,6.24562337,-75.57408184,Hombre,24,Taxi,Atraco,Candelaria
206,2017-02-25,6.24789453,-75.56574687,Hombre,46,Taxi,Atraco,Candelaria
207,2017-02-25,6.24562337,-75.57408184,Hombre,24,Taxi,Atraco,Candelaria
208,2017-02-27,6.24959346,-75.59232399,Hombre,33,Autobus,Atraco,Laureles
209,2017-02-27,6.26851251,-75.54601103,Mujer,56,Taxi,Descuido,Manrique
210,2017-02-28,6.27999835,-75.5782276,Hombre,57,Taxi,Atraco,Castilla
211,2017-02-28,6.2462565,-75.5703546,Mujer,38,Taxi,Atraco,Candelaria
212,2017-02-28,6.2497735,-75.56845658,Mujer,41,Metro,Cosquilleo,Candelaria
213,2017-02-28,6.21478967,-75.5781408,Hombre,39,Taxi,Atraco,Belén
214,2017-02-28,6.2497735,-75.56845658,Mujer,41,Metro,Cosquilleo,Candelaria
215,2017-02-28,6.21478967,-75.5781408,Hombre,39,Taxi,Atraco,Belén
216,2017-02-28,6.2497735,-75.56845658,Mujer,41,Metro,Cosquilleo,Candelaria
217,2017-02-28,6.27999835,-75.5782276,Hombre,57,Taxi,Atraco,Castilla
218,2017-02-28,6.28184766,-75.58004872,Hombre,42,Taxi,Atraco,Castilla
219,2017-02-28,6.28184766,-75.58004872,Hombre,42,Taxi,Atraco,Castilla
220,2017-02-28,6.25668636,-75.5618835,Hombre,31,Taxi,Atraco,Candelaria
221,2017-02-28,6.22370559,-75.56906504,Mujer,26,Taxi,Atraco,Poblado
222,2017-03-01,6.25266168,-75.56858327,Hombre,55,Autobus,Atraco,Candelaria
223,2017-03-01,6.25266168,-75.56858327,Hombre,55,Autobus,Atraco,Candelaria
224,2017-03-01,6.212949,-75.57787981,Hombre,35,Metro,Cosquilleo,Poblado
225,2017-03-01,6.2458467,-75.56570795,Hombre,33,Autobus,Cosquilleo,Candelaria
226,2017-03-01,6.2694433,-75.56589196,Hombre,18,Metro,Cosquilleo,Aranjuez
227,2017-03-02,6.25653915,-75.61759452,Mujer,28,Autobus,Cosquilleo,San Javier
228,2017-03-02,6.24537713,-75.5675536,Hombre,25,Taxi,Atraco,Candelaria
229,2017-03-02,6.23067662,-75.5752781,Hombre,58,Metro,Cosquilleo,Poblado
230,2017-03-03,6.29024532,-75.56904831,Mujer,32,Autobus,Cosquilleo,Castilla
231,2017-03-03,6.24728185,-75.56964923,Hombre,24,Metro,Cosquilleo,Candelaria
232,2017-03-04,6.23465883,-75.56914117,Hombre,24,Autobus,Cosquilleo,Candelaria
233,2017-03-04,6.25272034,-75.56783762,Hombre,45,Taxi,Atraco,Candelaria
234,2017-03-04,6.25272034,-75.56783762,Hombre,45,Taxi,Atraco,Candelaria
235,2017-03-04,6.25272034,-75.56783762,Hombre,45,Taxi,Atraco,Candelaria
236,2017-03-04,6.30533306,-75.55294917,Mujer,39,Autobus,Engaño,Santa Cruz
237,2017-03-04,6.24662423,-75.56795998,Mujer,26,Taxi,Atraco,Candelaria
238,2017-03-04,6.25229115,-75.5678607,Mujer,27,Taxi,Atraco,Candelaria
239,2017-03-05,6.22207887,-75.57984319,Mujer,51,Autobus,Atraco,Belén
240,2017-03-05,6.22207887,-75.57984319,Mujer,51,Autobus,Atraco,Belén
241,2017-03-05,6.22285746,-75.57965007,Hombre,26,Taxi,Atraco,Belén
242,2017-03-06,6.2315193,-75.5966866,Mujer,33,Autobus,Cosquilleo,Belén
243,2017-03-06,6.23199444,-75.58201581,Mujer,35,Taxi,Atraco,Belén
244,2017-03-07,6.25378684,-75.57485428,Hombre,22,Autobus,Cosquilleo,Candelaria
245,2017-03-08,6.21526348,-75.58159199,Mujer,20,Autobus,Cosquilleo,Belén
246,2017-03-08,6.24728649,-75.56983855,Hombre,45,Metro,Cosquilleo,Candelaria
247,2017-03-08,6.24728649,-75.56983855,Hombre,45,Metro,Cosquilleo,Candelaria
248,2017-03-08,6.25746288,-75.58456928,Mujer,27,Autobus,Cosquilleo,Laureles
249,2017-03-08,6.24733448,-75.56985464,Hombre,22,Metro,Cosquilleo,Candelaria
250,2017-03-09,6.24659326,-75.56666818,Mujer,25,Taxi,Atraco,Candelaria
251,2017-03-09,6.24487339,-75.56768641,Mujer,20,Autobus,Atraco,Candelaria
252,2017-03-09,6.24487339,-75.56768641,Mujer,20,Autobus,Atraco,Candelaria
253,2017-03-09,6.24578271,-75.5670115,Mujer,43,Taxi,Atraco,Candelaria
254,2017-03-09,6.25007541,-75.56836333,Mujer,47,Metro,Cosquilleo,Candelaria
255,2017-03-09,6.26478233,-75.56914117,Hombre,20,Autobus,Cosquilleo,Aranjuez
256,2017-03-09,6.20714677,-75.57139959,Mujer,27,Autobus,Cosquilleo,Poblado
257,2017-03-10,6.25265103,-75.56852666,Mujer,25,Autobus,Raponazo,Candelaria
258,2017-03-10,6.2736269,-75.58216716,Mujer,52,Autobus,Cosquilleo,Castilla
259,2017-03-10,6.30046542,-75.55881296,Mujer,54,Metro,Cosquilleo,Castilla
260,2017-03-10,6.2736269,-75.58216716,Mujer,52,Autobus,Cosquilleo,Castilla
261,2017-03-10,6.26006959,-75.56252132,Hombre,36,Metro,Cosquilleo,Candelaria
262,2017-03-10,6.26168954,-75.5705842,Mujer,21,Autobus,Cosquilleo,Candelaria
263,2017-03-10,6.30046542,-75.55881296,Mujer,54,Metro,Cosquilleo,Castilla
264,2017-03-10,6.25265103,-75.56852666,Mujer,25,Autobus,Raponazo,Candelaria
265,2017-03-10,6.23861367,-75.57330992,Mujer,24,Metro,Cosquilleo,Candelaria
